Time,station_id,Taxi,Bus,Cargo,Private_Veh
1100-1200 ,2206,10.5,0,29.2,36.6
1200-1300 ,2206,17.2,1.3,21.2,43.8
1300-1400 ,2206,12.2,5.8,24.400000000000002,38.5
1400-1500 ,2206,13.3,8.4,19.9,41
1500-1600 ,2206,12.3,1.3,30.4,37.5
1600-1700 ,2206,9.8,2,22.8,40.3
1700-1800 ,2206,12.4,2.3,13.100000000000001,54.9
1800-1900 ,2206,13.1,6.3,6.3,49.5
1900-2000 ,2206,16.9,1.6,8.8,52.4
2000-2100 ,2206,25.3,0,12.600000000000001,39.1
2100-2200 ,2206,10.6,0,15.1,49.8
2200-2300 ,2206,15.5,0,15.6,44
0700-0800 ,2401,18.2,0,21.2,45.5
0800-0900 ,2401,34,2,32,20
0900-1000 ,2401,25,1.8,28.6,26.8
1000-1100 ,2401,41,1.6,14.700000000000001,34.4
1100-1200 ,2401,19.7,11.5,29.5,27.9
1200-1300 ,2401,30.2,2.3,28.0,34.9
1300-1400 ,2401,42.9,4.1,26.5,14.3
1400-1500 ,2401,22.2,5.6,29.7,35.2
1500-1600 ,2401,11.1,7.4,18.5,50
1600-1700 ,2401,22.7,6.8,25,36.4
1700-1800 ,2401,6.5,6.5,32.3,35.5
1800-1900 ,2401,4,8,0,68
1900-2000 ,2401,18.2,4.5,13.6,40.9
2000-2100 ,2401,14.3,0,28.6,38.1
2100-2200 ,2401,9.1,0,9.1,45.5
2200-2300 ,2401,36.4,0,0,36.4
0700-0800 ,5012,6.1,4.2,25.6,55.2
0800-0900 ,5012,6.4,2.7,32.2,48.9
0900-1000 ,5012,7.7,1.9,42.099999999999994,38.6
1000-1100 ,5012,8.1,1,47.900000000000006,35.3
1100-1200 ,5012,8.6,0.6,48.2,34.6
1200-1300 ,5012,7.7,1.2,43.8,40.3
1300-1400 ,5012,7.4,1.2,46.0,38.6
1400-1500 ,5012,6.7,1.4,47.1,37.8
1500-1600 ,5012,6.2,1.3,46.5,38.9
1600-1700 ,5012,7.1,1.4,43.2,39.1
1700-1800 ,5012,7,1.9,30.5,50.6
1800-1900 ,5012,6.3,2.7,20.4,59.2
1900-2000 ,5012,7.1,2.3,15.5,65.7
2000-2100 ,5012,11.5,2.3,18.4,55.2
2100-2200 ,5012,13,0.6,16.7,58
2200-2300 ,5012,13.4,0.4,16.8,58.3
0700-0800 ,4213,20.2,2.1,27.200000000000003,34.2
0800-0900 ,4213,18.3,1.8,19.2,49.4
0900-1000 ,4213,25.2,1.6,26.2,39.9
1000-1100 ,4213,24.3,0.8,33.5,33.9
1100-1200 ,4213,24.9,1.3,28.1,37.3
1200-1300 ,4213,25.9,1.2,27.7,39.1
1300-1400 ,4213,26.6,1.4,26.799999999999997,38.7
1400-1500 ,4213,21.8,1.8,28.6,40.9
1500-1600 ,4213,23.2,0.8,29.6,38.5
1600-1700 ,4213,21.9,1.8,24.5,42.1
1700-1800 ,4213,23.2,1.8,20.799999999999997,46.4
1800-1900 ,4213,18.7,1.4,9.1,58.4
1900-2000 ,4213,30.7,0.7,10.7,47.9
2000-2100 ,4213,30.2,1.1,8,51.1
2100-2200 ,4213,36.2,0.7,10.3,42.6
2200-2300 ,4213,38.4,0.4,9.1,41.4
0700-0800 ,4218,25.1,6.5,18.599999999999998,21.1
0800-0900 ,4218,24.3,2.4,14.600000000000001,46.7
0900-1000 ,4218,18.7,1,27.1,44.2
1000-1100 ,4218,21,3.1,28.4,37.7
1100-1200 ,4218,24,0.6,28.5,33.7
1200-1300 ,4218,24,2.2,20.2,36.7
1300-1400 ,4218,24.8,0,23.1,34.5
1400-1500 ,4218,17.5,3,21.7,41.7
1500-1600 ,4218,17.7,1.3,22.7,41
1600-1700 ,4218,21.8,0,28.200000000000003,31.5
1700-1800 ,4218,17.7,2,21.0,43.3
1800-1900 ,4218,17.3,0,12.4,56.4
1900-2000 ,4218,25.3,0.7,4.8,48.5
2000-2100 ,4218,19.7,0,9.299999999999999,46.4
2100-2200 ,4218,28.8,3.9,6.5,39.2
2200-2300 ,4218,34.5,1.5,6,34.5
0700-0800 ,1002,25.2,4.4,15.100000000000001,42.8
0800-0900 ,1002,23.9,3.2,16,47.4
0900-1000 ,1002,28,1.1,20.7,43.6
1000-1100 ,1002,27.3,0.9,27.5,37.8
1100-1200 ,1002,24.7,1.4,24.599999999999998,43.3
1200-1300 ,1002,26.2,2.2,22.8,43.9
1300-1400 ,1002,26,3.2,23.4,39.7
1400-1500 ,1002,25.7,1.4,24.900000000000002,42.2
1500-1600 ,1002,21,1.6,22.2,48.4
1600-1700 ,1002,25,2,18.3,46.1
1700-1800 ,1002,25,1.6,13.299999999999999,48.9
1800-1900 ,1002,21.9,1.8,8.7,58.1
1900-2000 ,1002,33.6,1,6.8,51.9
2000-2100 ,1002,37.3,0.8,7.2,46.3
2100-2200 ,1002,41.7,0.2,7.6000000000000005,42.2
2200-2300 ,1002,39.9,0.4,4.4,48.4
0700-0800 ,4204,33.8,1.9,14.2,27.2
0800-0900 ,4204,24.9,1.5,14.3,46
0900-1000 ,4204,27.5,0.3,21.400000000000002,35.9
1000-1100 ,4204,33.3,0.2,24.3,26.7
1100-1200 ,4204,22.3,0,21.7,38.9
1200-1300 ,4204,30.7,1.3,19.7,24.8
1300-1400 ,4204,28.4,0.2,21.8,32.9
1400-1500 ,4204,21.3,0.2,24.299999999999997,36.2
1500-1600 ,4204,26.5,0.2,19.1,37.5
1600-1700 ,4204,24.8,0.2,20.599999999999998,39.2
1700-1800 ,4204,24.6,0,16.6,37.3
1800-1900 ,4204,23.5,0.5,8.799999999999999,45.1
1900-2000 ,4204,24.7,0.2,5.5,49.4
2000-2100 ,4204,37.4,0.2,5.7,37.7
2100-2200 ,4204,33,0,6.300000000000001,39.6
2200-2300 ,4204,42.9,0.2,5.4,34.1
0700-0800 ,4214,17.1,1.3,31.1,36.1
0800-0900 ,4214,15,1.4,30.2,42.9
0900-1000 ,4214,15.5,0.6,35.9,39.1
1000-1100 ,4214,15.7,0.9,45.0,32.7
1100-1200 ,4214,20,0.7,41.5,32.2
1200-1300 ,4214,17.6,1.3,39.9,35.6
1300-1400 ,4214,18.5,2,37.1,35.8
1400-1500 ,4214,17.7,0.6,34.5,40.4
1500-1600 ,4214,17,0.5,35.2,40.2
1600-1700 ,4214,17.6,1,33.1,41.6
1700-1800 ,4214,18.5,0.8,25.9,44
1800-1900 ,4214,16.8,0.7,16.2,54.9
1900-2000 ,4214,23.8,0.7,14.799999999999999,52.4
2000-2100 ,4214,28.3,1,11.299999999999999,49.5
2100-2200 ,4214,30.2,1.2,12.2,47.5
2200-2300 ,4214,30.7,0.8,12.8,48
0700-0800 ,5021,12.2,3.6,21.6,49.5
0800-0900 ,5021,15.1,2.4,17.9,56.2
0900-1000 ,5021,13.9,1.7,31.7,45.6
1000-1100 ,5021,16.1,0.6,37.0,41
1100-1200 ,5021,17.4,0.8,33.3,42.6
1200-1300 ,5021,13.9,1.4,31.400000000000002,46.7
1300-1400 ,5021,15.8,2.9,33.7,40.4
1400-1500 ,5021,12.5,1.5,32.2,46.5
1500-1600 ,5021,15.3,0.6,32.5,45.6
1600-1700 ,5021,13.7,1.8,31.2,46.1
1700-1800 ,5021,10,1.9,19.4,59.6
1800-1900 ,5021,12.4,1.3,14.100000000000001,65
1900-2000 ,5021,17.3,1.7,11.4,62.6
2000-2100 ,5021,19.2,1.5,10.4,62.6
