Time,station_id,Taxi,Bus,Cargo,Private_Veh,num_Taxi,num_Bus,num_Cargo,num_Private_Veh,frac_Taxi,frac_Bus,frac_Cargo,frac_Private_Veh,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,latitude,longitude
1300-1400 ,1002,39.7,3.2,49.7,35.0,852.7560000000001,68.736,1067.556,751.8,0.05995206821052614,0.1251048819952423,0.0833671144410741,0.05493753066395492,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1400-1500 ,1002,42.2,1.4,51.2,35.1,947.3900000000001,31.429999999999996,1149.44,787.9950000000001,0.06660520700173363,0.05720505180852051,0.0897615638178683,0.05758246804408508,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1500-1600 ,1002,48.4,1.6,53.2,34.3,1038.18,34.32,1141.14,735.7349999999999,0.07298809762089511,0.06246507725321107,0.08911340386198692,0.0537635862237894,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1600-1700 ,1002,46.1,2.0,48.6,37.8,956.114,41.480000000000004,1007.9639999999999,783.9719999999999,0.06721853818095562,0.07549683579438216,0.0787134821409676,0.05728848868007723,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1700-1800 ,1002,48.9,1.6,39.5,45.5,952.572,31.168,769.46,886.34,0.06696952178517337,0.05672819137028213,0.060088332488252495,0.0647689956486962,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1800-1900 ,1002,58.1,1.8,24.3,61.8,1059.744,32.832,443.23199999999997,1127.232,0.07450413081080146,0.059756801176498425,0.03461267874279771,0.08237209705425809,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1900-2000 ,1002,51.9,1.0,22.6,63.0,948.7320000000001,18.28,413.128,1151.64,0.06669955482870703,0.033271025996174194,0.032261810391972,0.08415570339696336,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
2000-2100 ,1002,46.3,0.8,20.9,60.9,708.853,12.248000000000001,319.979,932.379,0.04983512682084451,0.02229231544864013,0.024987659581080943,0.06813327999857359,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
2100-2200 ,1002,42.2,0.2,23.5,58.4,588.69,2.79,327.825,814.68,0.04138719989640018,0.005078017643836215,0.025600365968291235,0.05953246539147485,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
2200-2300 ,1002,48.4,0.4,15.9,66.6,578.38,4.78,190.005,795.8699999999999,0.04066236673984599,0.008699972880837672,0.01483778703822215,0.058157931004950515,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
