,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,link_id,link_name,link_coord
Fri,541,353,285,236,258,390,977,2121,2140,2142,2150,2034,1933,1926,2003,2029,1886,1783,1793,1675,1317,1202,1108,822,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Sat,721,524,453,341,288,371,709,1135,1612,1838,1948,1880,1746,1727,1739,1741,1729,1679,1657,1407,1185,1245,1222,949,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Sun,594,430,362,272,238,290,460,623,819,1074,1264,1338,1330,1314,1301,1337,1285,1286,1265,1042,970,981,809,551,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
M-F,510,332,268,222,243,367,920,1997,2015,2017,2024,1915,1820,1813,1886,1910,1776,1678,1688,1577,1240,1132,1043,774,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Mon,144,96,70,59,67,103,305,802,1127,949,788,747,728,691,728,787,806,815,823,607,393,334,295,222,1006,Pok Fu Lam Rd,"{'latitude': '22.281358', 'longitude': '114.1318003'}"
Tue,146,97,70,59,68,104,309,811,1140,960,798,756,737,699,737,796,816,825,833,614,398,338,299,225,1006,Pok Fu Lam Rd,"{'latitude': '22.281358', 'longitude': '114.1318003'}"
Wed,147,97,71,60,68,105,310,816,1147,966,802,760,741,703,741,801,821,830,838,618,400,340,300,226,1006,Pok Fu Lam Rd,"{'latitude': '22.281358', 'longitude': '114.1318003'}"
Thu,147,98,71,60,68,105,312,820,1153,971,807,764,745,707,745,805,825,834,843,621,402,342,302,228,1006,Pok Fu Lam Rd,"{'latitude': '22.281358', 'longitude': '114.1318003'}"
Fri,153,102,74,62,71,109,324,853,1199,1009,838,794,775,735,774,837,857,867,876,646,418,356,314,236,1006,Pok Fu Lam Rd,"{'latitude': '22.281358', 'longitude': '114.1318003'}"
Sat,183,126,93,79,80,95,223,318,520,587,632,670,703,688,642,632,628,628,647,460,314,308,306,240,1006,Pok Fu Lam Rd,"{'latitude': '22.281358', 'longitude': '114.1318003'}"
Sun,132,97,70,57,55,69,141,172,233,282,332,347,376,362,346,349,348,347,364,269,237,233,189,136,1006,Pok Fu Lam Rd,"{'latitude': '22.281358', 'longitude': '114.1318003'}"
M-F,138,92,67,56,64,98,292,768,1080,909,755,716,698,662,698,754,773,781,789,582,377,320,283,213,1006,Pok Fu Lam Rd,"{'latitude': '22.281358', 'longitude': '114.1318003'}"
Mon,560,395,234,210,198,275,645,1476,2021,1977,1781,1590,1399,1464,1439,1428,1335,1355,1431,1341,1175,1017,979,854,1007,Connaught Rd W,"{'latitude': '22.2880282', 'longitude': '114.1500858'}"
Tue,572,404,239,215,203,281,659,1508,2064,2020,1819,1625,1430,1496,1470,1459,1364,1384,1462,1370,1200,1039,1000,872,1007,Connaught Rd W,"{'latitude': '22.2880282', 'longitude': '114.1500858'}"
Wed,570,402,238,214,202,280,656,1503,2057,2013,1813,1619,1425,1490,1465,1454,1359,1379,1457,1365,1196,1035,996,869,1007,Connaught Rd W,"{'latitude': '22.2880282', 'longitude': '114.1500858'}"
Thu,571,403,239,214,202,280,657,1504,2059,2014,1814,1620,1426,1492,1466,1455,1360,1380,1458,1366,1197,1036,997,870,1007,Connaught Rd W,"{'latitude': '22.2880282', 'longitude': '114.1500858'}"
Fri,579,408,242,217,205,284,666,1526,2088,2043,1840,1644,1446,1513,1487,1476,1380,1400,1479,1386,1214,1051,1011,882,1007,Connaught Rd W,"{'latitude': '22.2880282', 'longitude': '114.1500858'}"
Sat,728,532,364,288,284,334,565,775,1243,1490,1482,1598,1312,1571,1530,1426,1461,1208,1326,1013,927,1034,1007,896,1007,Connaught Rd W,"{'latitude': '22.2880282', 'longitude': '114.1500858'}"
Sun,506,388,300,243,223,216,345,412,589,659,815,826,851,827,913,864,753,818,934,775,757,826,729,644,1007,Connaught Rd W,"{'latitude': '22.2880282', 'longitude': '114.1500858'}"
M-F,548,387,229,206,194,269,631,1445,1978,1935,1743,1557,1370,1433,1408,1398,1307,1326,1401,1313,1150,995,958,836,1007,Connaught Rd W,"{'latitude': '22.2880282', 'longitude': '114.1500858'}"
Mon,510,327,236,199,196,274,660,1549,2477,2731,2479,2482,2610,2289,2439,2382,2353,2515,2731,2129,1491,1266,1094,830,1008,Queensway,"{'latitude': '22.2786141', 'longitude': '114.1640791'}"
Tue,521,334,241,203,200,280,674,1582,2529,2788,2531,2534,2664,2337,2490,2431,2402,2567,2788,2174,1523,1292,1117,847,1008,Queensway,"{'latitude': '22.2786141', 'longitude': '114.1640791'}"
Wed,521,334,241,203,200,279,673,1581,2527,2787,2529,2533,2663,2336,2489,2430,2401,2566,2787,2172,1522,1291,1117,847,1008,Queensway,"{'latitude': '22.2786141', 'longitude': '114.1640791'}"
Thu,532,341,246,208,204,286,688,1615,2582,2847,2584,2588,2721,2386,2543,2483,2453,2622,2847,2220,1555,1320,1141,865,1008,Queensway,"{'latitude': '22.2786141', 'longitude': '114.1640791'}"
Fri,549,353,255,215,211,295,711,1668,2667,2941,2669,2673,2810,2465,2627,2565,2534,2708,2941,2293,1606,1363,1178,894,1008,Queensway,"{'latitude': '22.2786141', 'longitude': '114.1640791'}"
Sat,618,425,334,273,219,248,464,784,1233,1607,1859,2058,2165,2012,1987,1997,1889,1906,1987,1654,1262,1098,1007,830,1008,Queensway,"{'latitude': '22.2786141', 'longitude': '114.1640791'}"
Sun,492,336,264,207,174,190,324,518,690,904,1074,1273,1390,1313,1296,1301,1227,1248,1317,1073,829,729,597,457,1008,Queensway,"{'latitude': '22.2786141', 'longitude': '114.1640791'}"
M-F,498,320,231,194,191,267,644,1512,2417,2665,2419,2422,2547,2234,2380,2324,2296,2454,2665,2078,1455,1235,1068,810,1008,Queensway,"{'latitude': '22.2786141', 'longitude': '114.1640791'}"
Mon,104,76,48,47,36,45,88,196,244,258,249,241,232,276,244,247,241,233,231,220,205,184,185,160,1009,King's Rd,"{'latitude': '22.2913274', 'longitude': '114.2083578'}"
Tue,105,76,48,48,36,46,89,198,247,261,252,244,235,279,246,250,244,236,233,222,208,186,187,162,1009,King's Rd,"{'latitude': '22.2913274', 'longitude': '114.2083578'}"
Wed,106,77,48,48,37,46,90,200,249,263,253,245,236,281,248,252,246,238,235,224,209,188,188,163,1009,King's Rd,"{'latitude': '22.2913274', 'longitude': '114.2083578'}"
Thu,106,77,48,48,37,46,90,200,248,262,253,245,236,281,248,252,246,238,235,224,209,187,188,163,1009,King's Rd,"{'latitude': '22.2913274', 'longitude': '114.2083578'}"
Fri,107,77,49,48,37,46,91,201,250,264,255,247,238,283,250,254,247,239,236,225,210,189,189,164,1009,King's Rd,"{'latitude': '22.2913274', 'longitude': '114.2083578'}"
Sat,122,109,71,51,42,56,81,137,190,191,205,236,217,251,253,266,214,208,208,184,193,211,184,162,1009,King's Rd,"{'latitude': '22.2913274', 'longitude': '114.2083578'}"
Sun,140,88,96,48,62,55,66,114,158,184,223,224,195,197,247,221,188,226,199,204,169,158,162,148,1009,King's Rd,"{'latitude': '22.2913274', 'longitude': '114.2083578'}"
M-F,103,75,47,47,36,45,88,194,242,255,246,239,230,273,241,245,239,231,229,218,203,182,183,159,1009,King's Rd,"{'latitude': '22.2913274', 'longitude': '114.2083578'}"
Mon,225,164,128,86,80,98,306,749,884,692,615,603,652,611,668,762,701,742,754,661,500,411,391,333,1010,Chai Wan Rd,"{'latitude': '22.2659425', 'longitude': '114.245474'}"
Tue,224,163,127,86,80,98,304,745,879,689,612,600,649,608,664,758,697,738,750,658,497,408,389,332,1010,Chai Wan Rd,"{'latitude': '22.2659425', 'longitude': '114.245474'}"
Wed,228,166,130,88,81,100,311,761,897,703,624,612,662,621,678,773,712,754,766,671,507,417,397,338,1010,Chai Wan Rd,"{'latitude': '22.2659425', 'longitude': '114.245474'}"
Thu,227,165,129,87,81,99,309,756,892,699,621,609,658,617,674,769,708,749,761,668,504,414,394,336,1010,Chai Wan Rd,"{'latitude': '22.2659425', 'longitude': '114.245474'}"
Fri,230,168,131,89,82,101,313,768,906,710,630,618,668,627,684,781,718,761,773,678,512,421,400,342,1010,Chai Wan Rd,"{'latitude': '22.2659425', 'longitude': '114.245474'}"
Sat,278,233,166,112,100,116,252,392,616,609,518,629,699,711,621,702,705,729,729,629,393,430,439,414,1010,Chai Wan Rd,"{'latitude': '22.2659425', 'longitude': '114.245474'}"
Sun,314,220,177,127,109,128,231,249,390,479,548,609,586,572,654,623,627,629,613,548,431,469,463,326,1010,Chai Wan Rd,"{'latitude': '22.2659425', 'longitude': '114.245474'}"
M-F,223,162,127,86,79,97,303,743,876,686,610,598,646,606,662,755,695,736,748,656,495,407,387,330,1010,Chai Wan Rd,"{'latitude': '22.2659425', 'longitude': '114.245474'}"
Mon,646,396,268,224,236,405,1044,2111,2264,2163,2183,2159,2265,2081,2147,2102,2104,1993,1879,1737,1405,1310,1143,949,1011,Wong Chuk Hang Rd,"{'latitude': '22.2460804', 'longitude': '114.1778973'}"
Tue,654,401,272,227,238,410,1057,2137,2291,2189,2210,2186,2293,2107,2173,2127,2130,2017,1902,1758,1422,1326,1157,960,1011,Wong Chuk Hang Rd,"{'latitude': '22.2460804', 'longitude': '114.1778973'}"
Wed,658,403,273,228,240,413,1064,2150,2305,2203,2223,2199,2307,2120,2186,2140,2143,2029,1914,1769,1430,1334,1164,966,1011,Wong Chuk Hang Rd,"{'latitude': '22.2460804', 'longitude': '114.1778973'}"
Thu,661,405,274,229,241,414,1068,2159,2314,2211,2232,2207,2316,2128,2195,2149,2152,2038,1922,1776,1436,1339,1169,970,1011,Wong Chuk Hang Rd,"{'latitude': '22.2460804', 'longitude': '114.1778973'}"
Fri,682,418,283,236,249,428,1102,2228,2389,2283,2304,2279,2391,2197,2266,2218,2221,2103,1983,1833,1482,1382,1207,1001,1011,Wong Chuk Hang Rd,"{'latitude': '22.2460804', 'longitude': '114.1778973'}"
Sat,882,563,408,338,303,433,746,1389,1846,2043,2238,2129,2146,2069,1878,2148,1919,1907,1890,1552,1309,1564,1385,1152,1011,Wong Chuk Hang Rd,"{'latitude': '22.2460804', 'longitude': '114.1778973'}"
Sun,787,503,384,295,255,324,556,704,1000,1164,1483,1644,1574,1546,1447,1512,1627,1501,1367,1213,1274,1221,975,744,1011,Wong Chuk Hang Rd,"{'latitude': '22.2460804', 'longitude': '114.1778973'}"
M-F,644,395,268,223,235,404,1041,2105,2257,2156,2177,2153,2259,2075,2141,2095,2098,1987,1874,1732,1401,1306,1140,946,1011,Wong Chuk Hang Rd,"{'latitude': '22.2460804', 'longitude': '114.1778973'}"
Mon,87,45,27,21,22,61,217,501,488,436,444,450,412,436,491,519,536,525,480,378,298,246,216,182,1012,Repulse Bay Rd & Stanley Gap Rd,"{'latitude': '22.2253247', 'longitude': '114.2034755'}"
Tue,89,46,28,21,23,62,221,510,496,444,451,458,419,444,499,528,545,534,488,385,303,250,220,185,1012,Repulse Bay Rd & Stanley Gap Rd,"{'latitude': '22.2253247', 'longitude': '114.2034755'}"
Wed,89,47,28,21,23,63,223,514,501,447,455,462,422,447,503,533,550,538,492,388,306,252,222,187,1012,Repulse Bay Rd & Stanley Gap Rd,"{'latitude': '22.2253247', 'longitude': '114.2034755'}"
Thu,89,46,28,21,23,62,221,510,497,445,452,459,420,445,500,529,547,535,489,386,304,250,220,186,1012,Repulse Bay Rd & Stanley Gap Rd,"{'latitude': '22.2253247', 'longitude': '114.2034755'}"
Fri,91,47,29,22,23,64,227,524,511,457,464,471,431,457,513,544,561,549,502,396,312,257,226,191,1012,Repulse Bay Rd & Stanley Gap Rd,"{'latitude': '22.2253247', 'longitude': '114.2034755'}"
Sat,160,99,59,41,39,59,145,264,409,506,521,594,601,585,610,627,538,548,482,419,285,284,260,196,1012,Repulse Bay Rd & Stanley Gap Rd,"{'latitude': '22.2253247', 'longitude': '114.2034755'}"
Sun,152,101,59,49,33,54,112,187,271,400,444,416,483,436,426,514,519,523,434,306,246,228,155,103,1012,Repulse Bay Rd & Stanley Gap Rd,"{'latitude': '22.2253247', 'longitude': '114.2034755'}"
M-F,88,46,28,21,23,62,220,507,494,442,449,456,417,442,497,526,543,532,486,383,302,249,219,185,1012,Repulse Bay Rd & Stanley Gap Rd,"{'latitude': '22.2253247', 'longitude': '114.2034755'}"
Mon,117,97,73,73,84,114,274,428,512,498,538,577,577,587,568,552,521,497,479,458,383,323,224,159,1013,Belcher's St,"{'latitude': '22.2856572', 'longitude': '114.1324862'}"
Tue,120,99,75,75,85,116,280,437,522,508,548,589,589,599,580,563,531,507,489,468,391,330,228,162,1013,Belcher's St,"{'latitude': '22.2856572', 'longitude': '114.1324862'}"
Wed,121,100,75,75,86,117,282,439,525,511,552,592,592,603,583,567,534,510,491,470,393,331,229,163,1013,Belcher's St,"{'latitude': '22.2856572', 'longitude': '114.1324862'}"
Thu,121,100,76,76,86,118,283,442,528,514,555,596,596,606,586,570,537,513,494,473,395,333,231,164,1013,Belcher's St,"{'latitude': '22.2856572', 'longitude': '114.1324862'}"
Fri,124,102,77,77,88,120,289,451,540,525,567,609,609,619,599,582,549,524,505,484,404,341,236,168,1013,Belcher's St,"{'latitude': '22.2856572', 'longitude': '114.1324862'}"
Sat,151,129,111,89,97,106,264,346,435,509,562,577,586,604,594,618,560,548,556,498,426,400,260,198,1013,Belcher's St,"{'latitude': '22.2856572', 'longitude': '114.1324862'}"
Sun,152,126,95,89,93,108,211,261,316,403,467,482,515,502,530,523,481,512,506,439,370,318,202,148,1013,Belcher's St,"{'latitude': '22.2856572', 'longitude': '114.1324862'}"
M-F,120,99,75,75,85,117,281,438,523,509,550,590,590,600,581,565,532,508,490,469,391,330,229,163,1013,Belcher's St,"{'latitude': '22.2856572', 'longitude': '114.1324862'}"
Mon,114,76,54,33,29,52,140,265,314,333,329,327,330,335,320,308,297,312,361,446,363,306,267,199,1014,Caine Rd,"{'latitude': '22.2802657', 'longitude': '114.153656'}"
Tue,117,78,55,34,29,54,144,273,323,342,339,337,339,345,329,317,306,321,372,459,373,315,275,205,1014,Caine Rd,"{'latitude': '22.2802657', 'longitude': '114.153656'}"
Wed,120,80,57,35,30,55,148,279,331,351,347,345,348,353,338,325,313,329,381,471,383,323,282,210,1014,Caine Rd,"{'latitude': '22.2802657', 'longitude': '114.153656'}"
Thu,122,82,58,35,31,56,151,285,338,358,355,352,355,361,345,331,320,336,389,481,391,330,288,215,1014,Caine Rd,"{'latitude': '22.2802657', 'longitude': '114.153656'}"
Fri,129,86,61,37,32,59,159,300,356,377,373,371,374,380,363,349,337,354,410,506,411,347,303,226,1014,Caine Rd,"{'latitude': '22.2802657', 'longitude': '114.153656'}"
